date,open,high,low,close,volume
2026-04-15,66.91,67.61,65.95,66.21,355214
2026-04-16,65.99,67.16,64.84,65.04,482451
2026-04-17,64.75,64.85,63.56,64.0,222834
2026-04-20,63.93,64.53,63.75,64.27,100415
2026-04-21,64.1,64.25,62.62,63.36,354803
2026-04-22,63.43,64.45,63.26,63.82,198927
2026-04-23,63.82,64.31,63.53,64.25,205424
2026-04-24,63.85,66.97,63.66,66.71,327300
2026-04-27,66.73,67.13,64.87,65.07,323389
2026-04-28,64.67,66.28,64.28,66.17,61766
2026-04-29,65.98,66.2,65.27,66.09,256789
2026-04-30,66.0,66.36,65.41,66.1,220272
2026-05-01,65.48,65.71,64.39,64.39,303259
2026-05-04,64.42,64.46,63.7,63.87,332252
2026-05-05,63.92,65.07,62.98,64.79,57892
2026-05-06,64.75,65.19,64.23,64.73,77761
2026-05-07,64.6,65.2,64.2,64.85,274453
2026-05-08,64.74,64.87,63.82,64.53,428016
2026-05-11,64.24,66.21,63.1,65.95,148985
2026-05-12,65.87,66.59,65.08,65.95,102390
2026-05-13,65.79,66.35,62.9,63.34,223615
2026-05-14,63.37,63.75,62.04,62.54,170011
2026-05-15,62.18,62.31,59.62,60.21,83196
2026-05-18,60.28,60.87,56.12,56.34,467510
2026-05-19,56.38,56.61,55.65,55.73,345605
2026-05-20,55.69,57.41,55.27,57.36,406954
2026-05-21,57.23,57.61,57.11,57.45,452084
2026-05-22,57.61,58.45,55.69,56.07,335453
2026-05-25,55.57,56.04,54.54,54.97,209568
2026-05-26,55.11,57.11,54.01,56.36,50267
2026-05-27,56.43,56.83,56.29,56.58,97280
2026-05-28,56.66,57.35,56.3,56.67,191432
2026-05-29,56.78,57.0,56.28,56.63,329120
2026-06-01,56.44,57.06,55.9,56.71,346770
2026-06-02,56.63,58.85,55.92,57.7,107166
2026-06-03,57.9,59.03,57.64,58.4,167111
2026-06-04,58.53,58.94,58.37,58.69,451229
2026-06-05,58.75,59.12,57.37,57.47,181752
2026-06-08,57.01,58.61,56.89,58.11,105105
2026-06-09,58.27,59.03,56.76,57.32,160453
2026-06-10,57.67,58.91,57.25,58.66,212841
2026-06-11,58.96,59.09,57.07,57.16,273478
2026-06-12,57.23,57.55,56.74,57.03,272596
2026-06-15,56.56,57.46,56.15,57.05,97855
2026-06-16,57.33,57.77,54.94,55.49,103042
2026-06-17,55.45,58.38,55.23,57.59,142655
2026-06-18,56.83,59.87,56.5,59.37,193436
2026-06-19,59.48,60.13,58.7,58.84,484827
2026-06-22,58.4,59.87,58.34,59.8,173875
2026-06-23,59.41,60.94,58.53,60.28,209259
2026-06-24,60.09,61.12,56.92,57.18,370985
2026-06-25,57.56,58.19,57.21,57.51,202469
2026-06-26,57.4,57.94,56.93,57.46,493823
2026-06-29,57.55,58.04,57.26,57.59,269440
2026-06-30,58.12,59.06,56.17,56.33,213276
2026-07-01,56.81,56.93,55.66,56.04,397177
2026-07-02,56.01,56.37,55.46,55.86,405823
2026-07-03,55.78,57.85,55.41,57.31,347864
2026-07-06,56.93,58.37,56.77,57.74,113153
2026-07-07,57.53,58.03,57.18,57.77,182396
2026-07-08,57.89,60.12,57.75,59.63,310961
2026-07-09,59.75,60.07,58.76,58.99,216410
2026-07-10,59.03,59.46,58.09,58.56,244720
2026-07-13,58.86,59.22,55.81,56.41,177611
2026-07-14,56.18,58.38,55.51,58.32,179682
2026-07-15,58.3,59.9,58.05,59.51,267253
2026-07-16,59.73,61.3,59.05,60.64,419769
2026-07-17,60.81,61.58,60.06,61.47,214516
2026-07-20,61.79,62.12,60.89,61.63,385889
2026-07-21,61.75,62.52,60.93,61.92,491744
2026-07-22,61.83,61.91,61.29,61.65,110298
2026-07-23,61.76,62.21,61.09,61.43,466282
2026-07-24,61.13,61.61,60.49,61.53,181583
